customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1083,,2026-05-16,WTR-5L-4,4,3,,0
C1083,,2026-05-16,WTR-200ML-24,2,3,,2.28
C1128,,2026-05-16,WTR-500ML-24,55,3,,0
C1091,,2026-05-16,WTR-19L-GAL,2,4,,0
C1091,,2026-05-16,WTR-1.5L-6,1,4,,0
C1091,,2026-05-16,WTR-5L-4,3,4,,0
C1107,,2026-05-16,WTR-5L-4,19,3,,0
C1071,,2026-05-16,WTR-5L-4,2,2,,0
C1071,,2026-05-16,WTR-500ML-24,5,2,,0
C1104,,2026-05-16,WTR-19L-GAL,32,2,,0
C1030,,2026-05-16,WTR-500ML-24,23,3,,0
C1096,,2026-05-16,WTR-5L-4,18,2,,0
C1018,,2026-05-16,WTR-500ML-24,14,1,,0
C1018,,2026-05-16,WTR-200ML-24,10,1,,0
C1035,,2026-05-16,WTR-1.5L-6,5,4,,6.61
C1031,,2026-05-16,WTR-1.5L-6,29,3,,0
C1004,,2026-05-16,WTR-1.5L-6,34,1,,0
C1004,,2026-05-16,WTR-200ML-24,37,1,,0
C1048,,2026-05-16,WTR-5L-4,1,3,,0
C1048,,2026-05-16,WTR-200ML-24,1,3,,0
C1059,,2026-05-16,WTR-200ML-24,15,3,,0
C1059,,2026-05-16,WTR-19L-GAL,9,3,,0
C1097,,2026-05-16,WTR-500ML-24,22,3,,0
C1150,,2026-05-16,WTR-500ML-24,42,4,,0
C1114,,2026-05-16,WTR-1.5L-6,3,3,,0
C1131,,2026-05-16,WTR-5L-4,4,3,,3.8
C1131,,2026-05-16,WTR-200ML-24,3,3,,0
C1078,,2026-05-16,WTR-200ML-24,8,3,,0
C1124,,2026-05-16,WTR-5L-4,13,2,,0
C1041,,2026-05-16,WTR-5L-4,26,3,,0
C1062,,2026-05-16,WTR-19L-GAL,22,3,,0
C1055,,2026-05-16,WTR-5L-4,1,3,,0
C1055,,2026-05-16,WTR-200ML-24,4,3,,0
C1055,,2026-05-16,WTR-1.5L-6,3,3,,0
C1122,,2026-05-16,WTR-1.5L-6,21,1,,0
C1122,,2026-05-16,WTR-5L-4,11,1,,0
C1077,,2026-05-16,WTR-5L-4,1,2,,0
C1077,,2026-05-16,WTR-200ML-24,5,2,,0
C1147,,2026-05-16,WTR-5L-4,6,2,,0
C1069,,2026-05-16,WTR-1.5L-6,6,3,,0
C1132,,2026-05-16,WTR-19L-GAL,20,3,,0
C1076,,2026-05-16,WTR-19L-GAL,27,3,,0
C1013,,2026-05-16,WTR-1.5L-6,72,2,,0
C1090,,2026-05-16,WTR-500ML-24,17,4,,0
C1090,,2026-05-16,WTR-5L-4,20,4,,0
C1100,,2026-05-16,WTR-200ML-24,39,4,,52.53
C1092,,2026-05-16,WTR-5L-4,7,3,,0
C1092,,2026-05-16,WTR-1.5L-6,14,3,,0
C1149,,2026-05-16,WTR-200ML-24,21,1,,0
C1149,,2026-05-16,WTR-500ML-24,12,1,,0
C1032,,2026-05-16,WTR-1.5L-6,6,3,,0
C1024,,2026-05-16,WTR-500ML-24,4,3,,0
C1024,,2026-05-16,WTR-1.5L-6,6,3,,0
C1024,,2026-05-16,WTR-19L-GAL,6,3,,0
C1023,,2026-05-16,WTR-1.5L-6,13,2,,0
C1023,,2026-05-16,WTR-19L-GAL,7,2,,0
C1023,,2026-05-16,WTR-5L-4,15,2,,0
C1017,,2026-05-16,WTR-200ML-24,27,3,,0
C1028,,2026-05-16,WTR-1.5L-6,5,4,,6.22
C1042,,2026-05-16,WTR-19L-GAL,16,3,,0
C1042,,2026-05-16,WTR-200ML-24,17,3,,0
C1110,,2026-05-16,WTR-1.5L-6,7,5,,0
C1095,,2026-05-16,WTR-19L-GAL,19,2,,0
C1109,,2026-05-16,WTR-1.5L-6,2,3,,2.44
C1109,,2026-05-16,WTR-200ML-24,3,3,,3.4
C1089,,2026-05-16,WTR-500ML-24,29,3,,0
C1005,,2026-05-16,WTR-1.5L-6,1,3,,0
C1005,,2026-05-16,WTR-19L-GAL,1,3,,0
C1005,,2026-05-16,WTR-200ML-24,4,3,,0
C1061,,2026-05-16,WTR-500ML-24,4,3,,0
C1061,,2026-05-16,WTR-200ML-24,3,3,,0
C1049,,2026-05-16,WTR-500ML-24,3,3,,0
C1029,,2026-05-16,WTR-200ML-24,14,2,,0
C1056,,2026-05-16,WTR-19L-GAL,18,3,,0
C1056,,2026-05-16,WTR-200ML-24,29,3,,0
