customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1114,,2026-05-15,WTR-200ML-24,7,3,,0
C1009,B01,2026-05-15,WTR-19L-GAL,3,2,,3.7
C1065,,2026-05-15,WTR-5L-4,11,3,,0
C1065,,2026-05-15,WTR-500ML-24,6,3,,0
C1104,,2026-05-15,WTR-5L-4,8,2,,0
C1104,,2026-05-15,WTR-1.5L-6,14,2,,0
C1074,,2026-05-15,WTR-200ML-24,17,4,,0
C1096,,2026-05-15,WTR-1.5L-6,9,2,,0
C1096,,2026-05-15,WTR-200ML-24,12,2,,0
C1037,,2026-05-15,WTR-200ML-24,13,5,,0
C1001,,2026-05-15,WTR-500ML-24,5,3,,0
C1098,,2026-05-15,WTR-19L-GAL,42,3,,51.66
C1049,,2026-05-15,WTR-200ML-24,4,3,,0
C1070,,2026-05-15,WTR-5L-4,3,5,,0
C1070,,2026-05-15,WTR-200ML-24,1,5,,0
C1072,,2026-05-15,WTR-200ML-24,14,2,,0
C1072,,2026-05-15,WTR-19L-GAL,12,2,,0
C1010,,2026-05-15,WTR-500ML-24,25,2,,0
C1030,,2026-05-15,WTR-500ML-24,6,3,,0
C1030,,2026-05-15,WTR-1.5L-6,16,3,,0
C1030,,2026-05-15,WTR-200ML-24,15,3,,0
C1108,,2026-05-15,WTR-19L-GAL,5,4,,0
C1108,,2026-05-15,WTR-5L-4,5,4,,0
C1031,,2026-05-15,WTR-1.5L-6,22,3,,0
C1028,,2026-05-15,WTR-5L-4,3,4,,0
C1028,,2026-05-15,WTR-500ML-24,2,4,,0
C1138,,2026-05-15,WTR-1.5L-6,45,4,,0
C1054,,2026-05-15,WTR-500ML-24,14,3,,0
C1036,,2026-05-15,WTR-5L-4,1,4,,0
C1036,,2026-05-15,WTR-200ML-24,3,4,,0
C1024,,2026-05-15,WTR-200ML-24,15,3,,0
C1024,,2026-05-15,WTR-19L-GAL,10,3,,0
C1086,,2026-05-15,WTR-19L-GAL,6,3,,7.66
C1056,,2026-05-15,WTR-200ML-24,40,3,,0
