customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1061,,2026-05-14,WTR-500ML-24,2,3,,0
C1083,,2026-05-14,WTR-1.5L-6,2,3,,2.94
C1017,,2026-05-14,WTR-5L-4,9,3,,0
C1017,,2026-05-14,WTR-19L-GAL,6,3,,0
C1046,,2026-05-14,WTR-500ML-24,6,5,,0
C1046,,2026-05-14,WTR-19L-GAL,7,5,,0
C1046,,2026-05-14,WTR-200ML-24,7,5,,0
C1003,,2026-05-14,WTR-200ML-24,22,4,,0
C1121,,2026-05-14,WTR-500ML-24,50,2,,0
C1072,,2026-05-14,WTR-1.5L-6,11,2,,0
C1072,,2026-05-14,WTR-19L-GAL,10,2,,0
C1072,,2026-05-14,WTR-200ML-24,5,2,,0
C1114,,2026-05-14,WTR-5L-4,3,3,,0
C1114,,2026-05-14,WTR-500ML-24,2,3,,0
C1056,,2026-05-14,WTR-500ML-24,62,3,,0
C1139,,2026-05-14,WTR-1.5L-6,12,3,,0
C1105,,2026-05-14,WTR-1.5L-6,3,2,,0
C1122,,2026-05-14,WTR-200ML-24,10,1,,0
C1122,,2026-05-14,WTR-19L-GAL,16,1,,0
C1124,,2026-05-14,WTR-5L-4,15,2,,0
C1124,,2026-05-14,WTR-19L-GAL,13,2,,0
C1134,,2026-05-14,WTR-200ML-24,28,3,,0
C1137,,2026-05-14,WTR-19L-GAL,3,4,,0
C1137,,2026-05-14,WTR-1.5L-6,2,4,,0
C1062,,2026-05-14,WTR-1.5L-6,20,3,,0
C1146,,2026-05-14,WTR-19L-GAL,5,3,,0
C1119,,2026-05-14,WTR-500ML-24,4,3,,0
C1119,,2026-05-14,WTR-200ML-24,2,3,,0
C1031,,2026-05-14,WTR-500ML-24,45,3,,0
C1106,,2026-05-14,WTR-19L-GAL,4,3,,0
C1106,,2026-05-14,WTR-500ML-24,1,3,,0
C1012,,2026-05-14,WTR-5L-4,14,3,,0
C1012,,2026-05-14,WTR-1.5L-6,12,3,,0
C1091,,2026-05-14,WTR-5L-4,1,4,,0
C1091,,2026-05-14,WTR-1.5L-6,4,4,,0
C1050,,2026-05-14,WTR-500ML-24,4,4,,0
C1107,,2026-05-14,WTR-19L-GAL,33,3,,0
C1063,,2026-05-14,WTR-19L-GAL,6,2,,0
C1063,,2026-05-14,WTR-1.5L-6,5,2,,0
C1066,,2026-05-14,WTR-200ML-24,41,3,,0
C1094,,2026-05-14,WTR-500ML-24,44,1,,0
C1094,,2026-05-14,WTR-200ML-24,25,1,,0
C1069,,2026-05-14,WTR-200ML-24,14,3,,0
C1033,,2026-05-14,WTR-1.5L-6,9,3,,0
C1077,,2026-05-14,WTR-5L-4,10,2,,0
C1136,,2026-05-14,WTR-500ML-24,5,1,,0
C1136,,2026-05-14,WTR-1.5L-6,5,1,,0
C1141,,2026-05-14,WTR-5L-4,4,3,,5.26
C1100,,2026-05-14,WTR-5L-4,15,4,,0
C1100,,2026-05-14,WTR-19L-GAL,23,4,,30.87
C1025,,2026-05-14,WTR-1.5L-6,6,4,,0
C1059,,2026-05-14,WTR-5L-4,24,3,,0
C1042,,2026-05-14,WTR-500ML-24,15,3,,0
C1042,,2026-05-14,WTR-200ML-24,9,3,,0
C1035,,2026-05-14,WTR-1.5L-6,6,4,,0
C1118,,2026-05-14,WTR-200ML-24,7,3,,0
C1118,,2026-05-14,WTR-500ML-24,10,3,,0
C1070,,2026-05-14,WTR-1.5L-6,4,5,,0
C1109,,2026-05-14,WTR-200ML-24,3,3,,0
C1109,,2026-05-14,WTR-500ML-24,3,3,,3.56
C1144,,2026-05-14,WTR-200ML-24,10,3,,0
C1090,,2026-05-14,WTR-200ML-24,19,4,,0
C1090,,2026-05-14,WTR-1.5L-6,22,4,,0
C1079,,2026-05-14,WTR-1.5L-6,3,3,,0
C1079,,2026-05-14,WTR-200ML-24,3,3,,0
C1079,,2026-05-14,WTR-5L-4,1,3,,0
C1001,,2026-05-14,WTR-200ML-24,6,3,,0
C1103,,2026-05-14,WTR-1.5L-6,13,2,,0
C1095,,2026-05-14,WTR-200ML-24,16,2,,0
C1095,,2026-05-14,WTR-5L-4,10,2,,0
C1027,,2026-05-14,WTR-200ML-24,46,4,,0
