customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1013,,2026-05-12,WTR-19L-GAL,40,2,,0
C1022,,2026-05-12,WTR-1.5L-6,4,5,,0
C1022,,2026-05-12,WTR-19L-GAL,5,5,,0
C1116,,2026-05-12,WTR-1.5L-6,19,4,,0
C1001,,2026-05-12,WTR-19L-GAL,5,3,,0
C1011,,2026-05-12,WTR-500ML-24,17,4,,0
C1014,,2026-05-12,WTR-1.5L-6,14,1,,0
C1014,,2026-05-12,WTR-200ML-24,21,1,,0
C1091,,2026-05-12,WTR-200ML-24,6,4,,0
C1073,,2026-05-12,WTR-1.5L-6,8,3,,0
C1077,,2026-05-12,WTR-19L-GAL,11,2,,0
C1044,,2026-05-12,WTR-1.5L-6,54,3,,0
C1139,,2026-05-12,WTR-1.5L-6,4,3,,0
C1064,,2026-05-12,WTR-1.5L-6,2,3,,0
C1064,,2026-05-12,WTR-200ML-24,4,3,,0
C1007,,2026-05-12,WTR-1.5L-6,2,5,,0
C1007,,2026-05-12,WTR-5L-4,1,5,,0
C1076,,2026-05-12,WTR-200ML-24,14,3,,0
C1010,,2026-05-12,WTR-500ML-24,7,2,,0
C1010,,2026-05-12,WTR-1.5L-6,10,2,,0
C1010,,2026-05-12,WTR-19L-GAL,6,2,,0
C1131,,2026-05-12,WTR-1.5L-6,7,3,,8.73
C1131,,2026-05-12,WTR-19L-GAL,3,3,,2.72
C1024,,2026-05-12,WTR-19L-GAL,17,3,,0
C1125,,2026-05-12,WTR-1.5L-6,7,4,,0
C1125,,2026-05-12,WTR-500ML-24,12,4,,0
C1125,,2026-05-12,WTR-5L-4,12,4,,0
C1053,,2026-05-12,WTR-19L-GAL,8,5,,0
C1053,,2026-05-12,WTR-1.5L-6,7,5,,0
C1114,,2026-05-12,WTR-200ML-24,12,3,,0
C1087,,2026-05-12,WTR-200ML-24,41,3,,0
C1046,,2026-05-12,WTR-5L-4,10,5,,0
C1046,,2026-05-12,WTR-1.5L-6,5,5,,0
C1142,,2026-05-12,WTR-5L-4,9,3,,0
C1096,,2026-05-12,WTR-200ML-24,13,2,,0
C1096,,2026-05-12,WTR-19L-GAL,13,2,,0
C1017,,2026-05-12,WTR-200ML-24,15,3,,0
C1017,,2026-05-12,WTR-5L-4,14,3,,0
C1050,,2026-05-12,WTR-500ML-24,1,4,,0
C1042,,2026-05-12,WTR-500ML-24,35,3,,0
C1078,,2026-05-12,WTR-500ML-24,6,3,,0
C1078,,2026-05-12,WTR-19L-GAL,6,3,,0
C1094,,2026-05-12,WTR-200ML-24,30,1,,0
C1094,,2026-05-12,WTR-1.5L-6,33,1,,0
C1105,,2026-05-12,WTR-1.5L-6,11,2,,0
C1067,,2026-05-12,WTR-500ML-24,24,3,,0
C1067,,2026-05-12,WTR-19L-GAL,19,3,,0
C1117,,2026-05-12,WTR-5L-4,8,3,,0
C1083,,2026-05-12,WTR-19L-GAL,2,3,,0
C1083,,2026-05-12,WTR-500ML-24,2,3,,0
C1149,,2026-05-12,WTR-5L-4,39,1,,0
C1059,,2026-05-12,WTR-500ML-24,8,3,,0
C1059,,2026-05-12,WTR-1.5L-6,10,3,,0
C1059,,2026-05-12,WTR-5L-4,7,3,,0
C1147,,2026-05-12,WTR-200ML-24,3,2,,3.91
C1069,,2026-05-12,WTR-500ML-24,8,3,,0
C1126,,2026-05-12,WTR-1.5L-6,2,3,,0
C1126,,2026-05-12,WTR-5L-4,4,3,,0
C1138,,2026-05-12,WTR-5L-4,28,4,,0
C1150,,2026-05-12,WTR-500ML-24,16,4,,0
C1150,,2026-05-12,WTR-1.5L-6,11,4,,0
C1115,,2026-05-12,WTR-5L-4,8,3,,0
C1120,,2026-05-12,WTR-19L-GAL,1,2,,0
C1120,,2026-05-12,WTR-200ML-24,3,2,,0
C1120,,2026-05-12,WTR-500ML-24,3,2,,0
C1100,,2026-05-12,WTR-19L-GAL,45,4,,68.19
C1127,,2026-05-12,WTR-19L-GAL,7,3,,0
C1104,,2026-05-12,WTR-200ML-24,15,2,,0
C1104,,2026-05-12,WTR-500ML-24,19,2,,0
C1092,,2026-05-12,WTR-200ML-24,35,3,,0
C1109,,2026-05-12,WTR-200ML-24,1,3,,1.15
C1109,,2026-05-12,WTR-5L-4,2,3,,2.81
C1066,,2026-05-12,WTR-200ML-24,48,3,,0
C1021,,2026-05-12,WTR-200ML-24,20,4,,0
